Timestamp,What is your age?,Occupitation,P1.Q1,P1.Q2,P1.Q3,P1.Q4,P1.Q5,P1.Q6,P2.Q1,P2.Q2,P2.Q3,P2.Q4,P2.Q5,P2.Q6,P2.Q7,P2.Q8,P2.Q9,P2.Q10,Reasoning
3/3/2026 21:55:34,22,student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.",A) A guaranteed loss of $85.,A) A guaranteed loss of $25.,A) A guaranteed loss of $200.,A) Sell and lock in your $50 gain.,"B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.",A) Sell and lock in your $80 gain.,"B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,"B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.",A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","Most of the time I would rather have a guarantee rather than leave it to chance. However, when it drops I more have the mindset of ""how much more could I lose"". Other than that, if the chances seem favorable to more money then I will choose that one."
3/4/2026 11:49:21,20,student,A) A guaranteed gain of $25.,"B) A 50% chance to gain $400, and a 50% chance to gain nothing.","B) A 90% chance to gain $100, and a 10% chance to gain nothing.",A) A guaranteed loss of $85.,"B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,A) Sell and accept your $80 loss.,"B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","Since I believe I am lucky I took the chances whenever it was 50/50 for chances of gaining or losing. However, I chose the safe option whenever the chances of increase were at 20%"
3/4/2026 13:28:15,21,Student,A) A guaranteed gain of $25.,"B) A 50% chance to gain $400, and a 50% chance to gain nothing.","B) A 90% chance to gain $100, and a 10% chance to gain nothing.",A) A guaranteed loss of $85.,"B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.","B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,"B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.",A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","If I have a reasonable chance to make a profit then I will take it. For instance in Q10, I have a reasonable chance (50%) to break even. Also, if I did lose the 50%, I wouldn't mind too much since I'm already losing money."
3/6/2026 11:13:42,22,student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.","B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.",A) Sell and lock in your $50 gain.,"B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.",A) Sell and lock in your $80 gain.,A) Sell and accept your $20 loss.,"B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.",A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",Instinct
3/6/2026 11:23:11,21,Student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.",A) A guaranteed loss of $85.,"B) A 25% chance to lose $100, and a 75% chance to lose nothing.","B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.",A) Sell and accept your $50 loss.,"B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,A) Sell and accept your $80 loss.,A) Sell and lock in your $250 gain.,A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.",A) Sell and accept your $40 loss.,"I thought about the ratio between the percentage and the amount of money gained and lost in the scenario. In most cases, if the magnitude of the current money was large enough, then I would accept my loss and sell it but hold if the percentage for a gain was either equal or larger than the loss."
3/6/2026 11:27:13,21,Student,"B) A 25% chance to gain $100, and a 75% chance to gain nothing.",A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.",A) A guaranteed loss of $85.,A) A guaranteed loss of $25.,A) A guaranteed loss of $200.,A) Sell and lock in your $50 gain.,A) Sell and accept your $50 loss.,A) Sell and lock in your $80 gain.,A) Sell and accept your $20 loss.,A) Sell and lock in your $20 gain..,A) Sell and accept your $80 loss.,A) Sell and lock in your $250 gain.,A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","Don't make +-0 EV decisions because opportunity cost of staying in the market is equal to interest rate. I think there's some algorithms to apply in the iterated decision making case (i.e policy for if this situation will occur n times, what to do) but the questions were about one-off situations, so if the EV is neutral just sell and put it into a +EV decision. Uncertainty / Psychological stress is also a cost too."
3/6/2026 11:52:49,22,student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.",A) Sell and lock in your $50 gain.,"B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.",A) Sell and lock in your $80 gain.,"B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.","B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.",A) Sell and accept your $250 loss.,"B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","I will take profit if it’s up. I will continue holding if I know they’re a strong company. Sell if I am losing a lot, but hold if there’s potential to go back up. "
3/6/2026 12:00:24,21,Student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,A) A guaranteed gain of $85.,A) A guaranteed loss of $85.,A) A guaranteed loss of $25.,A) A guaranteed loss of $200.,A) Sell and lock in your $50 gain.,"B) Hold — 50% chance it recovers to $200, 50% chance it falls further to $100.",A) Sell and lock in your $80 gain.,"B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.",A) Sell and lock in your $20 gain..,"B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.",A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.",I prefer predictable outcomes and making sure I don't lose the money I already gained. Also if I lost money previously and there's a chance to get it back I wouldn't mind taking the risk if the increased loss isn't too great.
3/6/2026 12:02:52,22,"Student, tutor",A) A guaranteed gain of $25.,"B) A 50% chance to gain $400, and a 50% chance to gain nothing.","B) A 90% chance to gain $100, and a 10% chance to gain nothing.","B) A 90% chance to lose $100, and a 10% chance to lose nothing.",A) A guaranteed loss of $25.,"B) A 50% chance to lose $400, and a 50% chance to lose nothing.","B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.",A) Sell and accept your $50 loss.,A) Sell and lock in your $80 gain.,A) Sell and accept your $20 loss.,"B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..","B) Hold — 20% chance it recovers to $200, 80% chance it falls further to $100.",A) Sell and lock in your $250 gain.,"B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","In general, I would hold if the options are net zero, or gain, as you lose nothing by holding. For large losses, if you have already lost a significant value, there is no real difference in losing more, so might as well hold. If it is a small loss, then I would sell because it is still a generally recoverable asset."
3/6/2026 12:04:23,23,student,A) A guaranteed gain of $25.,A) A guaranteed gain of $200.,"B) A 90% chance to gain $100, and a 10% chance to gain nothing.",A) A guaranteed loss of $85.,"B) A 25% chance to lose $100, and a 75% chance to lose nothing.",A) A guaranteed loss of $200.,"B) Hold — 50% chance it rises to $200, 50% chance it falls back to $100.",A) Sell and accept your $50 loss.,"B) Hold — 80% chance it rises to $200, 20% chance it falls back to $100.","B) Hold — 80% chance it recovers to $200, 20% chance it falls further to $100.","B) Hold — 20% chance it rises to $200, 80% chance it falls back to $100..",A) Sell and accept your $80 loss.,"B) Hold — 50% chance it rises to $1,000, 50% chance it falls back to $500.","B) Hold — 50% chance it recovers to $1,000, 50% chance it falls further to $500.","B) Hold — 50% chance it rises to $150, 50% chance it falls back to $100.","B) Hold — 50% chance it recovers to $150, 50% chance it falls further to $100.","In general for stocks, when you hold there isn't a one time percentage chance that it rises or falls. In most cases, holding gives you more future chances for the stock to rebound."
